Ti,Nb,Zr,Sn,Modulus,Ms,e/a ratio,Bo,Md,Mo eq.,Bo + Md,Yield Strength (MPa),Hardness (HV),Elongation (%),Corrosion Resistance,Inferred_Phase,Fabrication Method,Heat Treatment,Cooling Rate
82,10,4,4,83.33130667,801.6201044,4.056702311,2.805358788,2.450785652,5.88,5.25614444,538,363,7.557236089,No,BCC (β),Arc Melting,700°C/2h → Furnace Cool,Slow
81,10,4,5,83.02352781,766.9023508,4.057077183,2.803195563,2.449260633,6.18,5.252456196,550,386,13.86568372,No,BCC (β),Cold Rolling + Annealing,1000°C/1h → Water Quench,Slow
80,10,4,6,82.06354545,730.8615305,4.057457044,2.801003544,2.447715315,6.48,5.248718859,562,319,10.14676181,No,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
79,10,4,7,80.3222251,693.429006,4.057841996,2.798782153,2.446149291,6.78,5.244931444,574,445,10.47805957,Yes,BCC (β),Laser Additive Manufacturing,700°C/2h → Furnace Cool,Slow
78,10,4,8,77.72245382,654.5222702,4.058232141,2.796530795,2.444562141,7.08,5.241092936,586,413,6.063945773,Yes,BCC (β),Cold Rolling + Annealing,700°C/2h → Furnace Cool,Slow
77,10,4,9,74.28900748,614.0520095,4.058627584,2.794248861,2.442953435,7.38,5.237202296,598,436,5.330162217,Yes,BCC (β),Powder Metallurgy (Sintering),700°C/2h → Furnace Cool,Slow
76,10,4,10,70.18953841,571.9346112,4.059028435,2.791935722,2.441322731,7.68,5.233258452,610,416,12.44382418,Yes,BCC (β),Laser Additive Manufacturing,1000°C/1h → Water Quench,Slow
75,10,4,11,65.73716852,528.1110789,4.059434805,2.789590734,2.439669574,7.98,5.1881,622,497,10.66150943,Yes,BCC (β),Powder Metallurgy (Sintering),700°C/2h → Furnace Cool,Slow
74,10,4,12,61.33482277,482.5726285,4.059846809,2.787213235,2.437993497,8.28,5.225206732,634,362,9.902496871,Yes,BCC (β),Arc Melting,800°C/1h → Water Quench,Slow
81,10,5,4,83.07856912,781.6913262,4.057000462,2.80715787,2.453632663,6.35,5.260790533,548,346,5.771195913,No,BCC (β),Arc Melting,500°C/4h → Air Cool,Slow
80,10,5,5,82.37043882,745.8340031,4.0573793,2.804995152,2.452118494,6.65,5.257113646,560,357,9.362628904,No,BCC (β),Cold Rolling + Annealing,800°C/1h → Water Quench,Slow
79,10,5,6,80.9227008,708.5866721,4.057763207,2.802803493,2.450584063,6.95,5.253387556,572,435,11.63161823,Yes,BCC (β),Cold Rolling + Annealing,700°C/2h → Furnace Cool,Slow
78,10,5,7,78.63307202,669.8671604,4.058152286,2.80058231,2.449028961,7.25,5.249611271,584,415,14.92231335,Yes,BCC (β),Powder Metallurgy (Sintering),700°C/2h → Furnace Cool,Slow
77,10,5,8,75.48261002,629.5876059,4.058546642,2.798331001,2.447452767,7.55,5.245783768,596,380,7.901763569,Yes,BCC (β),Laser Additive Manufacturing,700°C/2h → Furnace Cool,Slow
76,10,5,9,71.58326701,587.6674198,4.058946383,2.796048949,2.44585505,7.85,5.241903999,608,472,11.10052114,Yes,BCC (β),Cold Rolling + Annealing,700°C/2h → Furnace Cool,Slow
75,10,5,10,67.19812563,544.0526507,4.05935162,2.79373552,2.444235365,8.15,5.237970885,620,363,7.640198003,Yes,BCC (β),Powder Metallurgy (Sintering),700°C/2h → Furnace Cool,Slow
74,10,5,11,62.70763165,498.7419283,4.059762468,2.791390063,2.442593256,8.45,5.23398332,632,498,5.03594345,Yes,BCC (β),Laser Additive Manufacturing,800°C/1h → Water Quench,Slow
73,10,5,12,58.52158418,451.8178919,4.060179043,2.789011908,2.440928255,8.75,5.229940163,644,493,14.94066868,Yes,BCC (β),Powder Metallurgy (Sintering),1000°C/1h → Water Quench,Slow
80,10,6,4,82.58604585,761.9168903,4.057301766,2.808975972,2.456509772,6.82,5.265485745,558,345,7.622457852,No,BCC (β),Laser Additive Manufacturing,1000°C/1h → Water Quench,Slow
79,10,6,5,81.41956488,724.8704357,4.057684632,2.806813893,2.45500677,7.12,5.261820663,570,408,5.837377234,Yes,BCC (β),Powder Metallurgy (Sintering),800°C/1h → Water Quench,Slow
78,10,6,6,79.43940252,686.3544055,4.05807265,2.804622728,2.453483547,7.42,5.258106274,582,405,8.725725278,Yes,BCC (β),Cold Rolling + Annealing,800°C/1h → Water Quench,Slow
77,10,6,7,76.58947811,646.2824566,4.058465923,2.802401884,2.451939693,7.72,5.254341577,594,444,12.12790268,Yes,BCC (β),Laser Additive Manufacturing,800°C/1h → Water Quench,Slow
76,10,6,8,72.92883082,604.5770974,4.058864559,2.800150757,2.450374786,8.02,5.250525543,606,431,6.457849126,Yes,BCC (β),Powder Metallurgy (Sintering),1000°C/1h → Water Quench,Slow
75,10,6,9,68.6656804,561.1894827,4.059268668,2.797868721,2.448788394,8.32,5.246657114,618,440,10.48888458,Yes,BCC (β),Powder Metallurgy (Sintering),800°C/1h → Water Quench,Slow
74,10,6,10,64.1455204,516.1256758,4.059678364,2.795555135,2.447180069,8.62,5.242735204,630,413,7.542876294,Yes,BCC (β),Cold Rolling + Annealing,800°C/1h → Water Quench,Slow
73,10,6,11,59.78036067,469.4781553,4.060093764,2.793209342,2.445549354,8.92,5.238758696,642,450,10.38853793,Yes,BCC (β),Arc Melting,1000°C/1h → Water Quench,Slow
72,10,6,12,55.94392025,421.4595179,4.060514987,2.790830663,2.443895779,9.22,5.234726442,654,419,14.51718563,Yes,BCC (β),Laser Additive Manufacturing,700°C/2h → Furnace Cool,Slow
